country,indicator,form,origin,train_start,train_end,n_train,clamped_points,admissible,note
Indonesia,TDLoss,loglinear,2019,2010,2019,10,0,True,
Indonesia,AccessElec,logit,2019,2010,2019,10,0,True,
Indonesia,Inflation,mean,2019,2015,2019,5,0,True,
Indonesia,CO2IntElec,linear,2019,2010,2019,10,0,True,
Indonesia,RenCap,loglinear,2019,2010,2019,10,0,True,
Indonesia,RenElec,linear,2019,2010,2019,10,0,True,
Malaysia,TDLoss,loglinear,2019,2010,2019,10,0,True,
Malaysia,AccessElec,logit,2019,2010,2019,10,3,True,
Malaysia,Inflation,mean,2019,2015,2019,5,0,True,
Malaysia,CO2IntElec,linear,2019,2010,2019,10,0,True,
Malaysia,RenCap,loglinear,2019,2010,2019,10,0,True,
Malaysia,RenElec,linear,2019,2010,2019,10,0,True,
Philippines,TDLoss,loglinear,2019,2010,2019,10,0,True,
Philippines,AccessElec,logit,2019,2010,2019,10,0,True,
Philippines,Inflation,mean,2019,2015,2019,5,0,True,
Philippines,CO2IntElec,linear,2019,2010,2019,10,0,True,
Philippines,RenCap,loglinear,2019,2010,2019,10,0,True,
Philippines,RenElec,linear,2019,2010,2019,10,0,True,
Singapore,TDLoss,loglinear,2019,2010,2019,10,0,True,
Singapore,AccessElec,logit,2019,2010,2019,10,10,True,
Singapore,Inflation,mean,2019,2015,2019,5,0,True,
Singapore,CO2IntElec,linear,2019,2010,2019,10,0,True,
Singapore,RenCap,loglinear,2019,2010,2019,10,0,True,
Singapore,RenElec,linear,2019,2010,2019,10,0,True,
Thailand,TDLoss,loglinear,2019,2010,2019,10,0,True,
Thailand,AccessElec,logit,2019,2010,2019,10,0,True,
Thailand,Inflation,mean,2019,2015,2019,5,0,True,
Thailand,CO2IntElec,linear,2019,2010,2019,10,0,True,
Thailand,RenCap,loglinear,2019,2010,2019,10,0,True,
Thailand,RenElec,linear,2019,2010,2019,10,0,True,
Vietnam,TDLoss,loglinear,2019,2010,2019,10,0,True,
Vietnam,AccessElec,logit,2019,2010,2019,10,2,True,
Vietnam,Inflation,mean,2019,2015,2019,5,0,True,
Vietnam,CO2IntElec,linear,2019,2010,2019,10,0,True,
Vietnam,RenCap,loglinear,2019,2010,2019,10,0,True,
Vietnam,RenElec,linear,2019,2010,2019,10,0,True,
