country,dimension,stage,dimension_gap
Indonesia,EnergyServiceSecurity,COVID,-0.053709534725483676
Indonesia,EnergyServiceSecurity,Compound,0.19098052877389182
Indonesia,LowCarbonContinuity,COVID,0.1545518586214599
Indonesia,LowCarbonContinuity,Compound,0.25699993392991854
Indonesia,MacroPricePressure,COVID,0.7585543150966748
Indonesia,MacroPricePressure,Compound,0.015508274827268312
Malaysia,EnergyServiceSecurity,COVID,0.008771386087650632
Malaysia,EnergyServiceSecurity,Compound,0.012836532860203862
Malaysia,LowCarbonContinuity,COVID,-0.3805725170475975
Malaysia,LowCarbonContinuity,Compound,-0.6874218076312008
Malaysia,MacroPricePressure,COVID,0.4234870945500087
Malaysia,MacroPricePressure,Compound,-0.3415562072833187
Philippines,EnergyServiceSecurity,COVID,-0.04657937268762492
Philippines,EnergyServiceSecurity,Compound,-0.2349583066406883
Philippines,LowCarbonContinuity,COVID,0.0208583318556336
Philippines,LowCarbonContinuity,Compound,0.10293591631029575
Philippines,MacroPricePressure,COVID,-0.2242085582709049
Philippines,MacroPricePressure,Compound,-1.1496664076933845
Singapore,EnergyServiceSecurity,COVID,-0.034079154741478435
Singapore,EnergyServiceSecurity,Compound,0.06764923531781514
Singapore,LowCarbonContinuity,COVID,0.05417912441600283
Singapore,LowCarbonContinuity,Compound,0.2954287376586688
Singapore,MacroPricePressure,COVID,-0.32623455930803097
Singapore,MacroPricePressure,Compound,-1.8161799873582887
Thailand,EnergyServiceSecurity,COVID,-0.09147660415542971
Thailand,EnergyServiceSecurity,Compound,-0.01332566934313264
Thailand,LowCarbonContinuity,COVID,-0.16131773192589563
Thailand,LowCarbonContinuity,Compound,-0.3432421634872606
Thailand,MacroPricePressure,COVID,0.051541823432961376
Thailand,MacroPricePressure,Compound,-1.1182854018633779
Vietnam,EnergyServiceSecurity,COVID,-0.06486765528349063
Vietnam,EnergyServiceSecurity,Compound,-0.06805160935852472
Vietnam,LowCarbonContinuity,COVID,0.7519781982694663
Vietnam,LowCarbonContinuity,Compound,1.2774905125240583
Vietnam,MacroPricePressure,COVID,0.034866260047593134
Vietnam,MacroPricePressure,Compound,-0.19380236236833992
