country,indicator,stage,contribution
Indonesia,CO2IntElec,COVID,0.07929854387865853
Indonesia,CO2IntElec,Compound,0.13413632550429755
Indonesia,RenCap,COVID,0.00036088915159787627
Indonesia,RenCap,Compound,0.017439510174152146
Indonesia,RenElec,COVID,0.07489242559120347
Indonesia,RenElec,Compound,0.10542409825146887
Malaysia,CO2IntElec,COVID,-0.045470632390984284
Malaysia,CO2IntElec,Compound,-0.04261708500205896
Malaysia,RenCap,COVID,-0.3147075487850594
Malaysia,RenCap,Compound,-0.5795378349602248
Malaysia,RenElec,COVID,-0.020394335871553745
Malaysia,RenElec,Compound,-0.06526688766891696
Philippines,CO2IntElec,COVID,0.013132873652557858
Philippines,CO2IntElec,Compound,0.05382887417663788
Philippines,RenCap,COVID,-0.0034831795303339
Philippines,RenCap,Compound,-0.001751049960926639
Philippines,RenElec,COVID,0.01120863773340964
Philippines,RenElec,Compound,0.05085809209458451
Singapore,CO2IntElec,COVID,-0.04745727350431942
Singapore,CO2IntElec,Compound,-0.06479551362576343
Singapore,RenCap,COVID,0.10363265605808482
Singapore,RenCap,Compound,0.32399325759820924
Singapore,RenElec,COVID,-0.0019962581377625708
Singapore,RenElec,Compound,0.03623099368622299
Thailand,CO2IntElec,COVID,-0.010181449748665255
Thailand,CO2IntElec,Compound,0.008736682362350076
Thailand,RenCap,COVID,-0.14553560169110538
Thailand,RenCap,Compound,-0.3279154053084771
Thailand,RenElec,COVID,-0.005600680486125026
Thailand,RenElec,Compound,-0.024063440541133508
Vietnam,CO2IntElec,COVID,0.08506970536829074
Vietnam,CO2IntElec,Compound,0.40523650754478613
Vietnam,RenCap,COVID,0.6112897819669102
Vietnam,RenCap,Compound,0.5959836832365267
Vietnam,RenElec,COVID,0.0556187109342654
Vietnam,RenElec,Compound,0.2762703217427453
