dimension,horizon,bias,mae,rmse,n
EnergyServiceSecurity,1,0.01461371848161313,0.06900546208668841,0.09313549510671493,30
EnergyServiceSecurity,2,0.036595657178342615,0.09875422803327065,0.12679092973358327,24
EnergyServiceSecurity,3,0.06117323605811244,0.12579295450063188,0.16125206899943384,18
EnergyServiceSecurity,4,0.05781036555252848,0.15639909521968218,0.18462658886396852,12
LowCarbonContinuity,1,-0.09367565774334308,0.16835795843504295,0.27782101698559675,30
LowCarbonContinuity,2,-0.129764439319868,0.24563082571358077,0.37684669501318613,24
LowCarbonContinuity,3,-0.18636484585276358,0.34907998598142675,0.48707123179107775,18
LowCarbonContinuity,4,-0.31914335361883234,0.5225892030715772,0.7607767527998464,12
MacroPricePressure,1,0.4354566870206931,0.5938059639292212,0.8600757826280552,30
MacroPricePressure,2,0.4720427166895779,0.6047854774907423,0.8018939197404684,24
MacroPricePressure,3,0.5195938265301143,0.672883859164027,0.812491892882111,18
MacroPricePressure,4,0.7280449829423913,0.8274908707585181,0.9702546310558456,12
