min_train,stage,n_windows,p_floor,windows
3,COVID,6,0.14285714285714285,2013-2014; 2014-2015; 2015-2016; 2016-2017; 2017-2018; 2018-2019
3,Compound,4,0.2,2015-2016; 2016-2017; 2017-2018; 2018-2019
4,COVID,5,0.16666666666666666,2014-2015; 2015-2016; 2016-2017; 2017-2018; 2018-2019
4,Compound,3,0.25,2016-2017; 2017-2018; 2018-2019
5,COVID,4,0.2,2015-2016; 2016-2017; 2017-2018; 2018-2019
5,Compound,2,0.3333333333333333,2017-2018; 2018-2019
6,COVID,3,0.25,2016-2017; 2017-2018; 2018-2019
6,Compound,1,0.5,2018-2019
7,COVID,2,0.3333333333333333,2017-2018; 2018-2019
7,Compound,0,,
