country,stage,contribution,dimension,dimension_gap,reconciliation_error
Indonesia,COVID,0.15455185862145987,LowCarbonContinuity,0.1545518586214599,-2.7755575615628914e-17
Indonesia,Compound,0.25699993392991854,LowCarbonContinuity,0.25699993392991854,0.0
Malaysia,COVID,-0.3805725170475974,LowCarbonContinuity,-0.3805725170475975,5.551115123125783e-17
Malaysia,Compound,-0.6874218076312008,LowCarbonContinuity,-0.6874218076312008,0.0
Philippines,COVID,0.0208583318556336,LowCarbonContinuity,0.0208583318556336,0.0
Philippines,Compound,0.10293591631029575,LowCarbonContinuity,0.10293591631029575,0.0
Singapore,COVID,0.054179124416002825,LowCarbonContinuity,0.05417912441600283,-6.938893903907228e-18
Singapore,Compound,0.29542873765866884,LowCarbonContinuity,0.2954287376586688,5.551115123125783e-17
Thailand,COVID,-0.16131773192589566,LowCarbonContinuity,-0.16131773192589563,-2.7755575615628914e-17
Thailand,Compound,-0.34324216348726055,LowCarbonContinuity,-0.3432421634872606,5.551115123125783e-17
Vietnam,COVID,0.7519781982694663,LowCarbonContinuity,0.7519781982694663,0.0
Vietnam,Compound,1.277490512524058,LowCarbonContinuity,1.2774905125240583,-2.220446049250313e-16
